,AL NSA Value,AK NSA Value,AZ NSA Value,AR NSA Value,CA NSA Value,CO NSA Value,CT NSA Value,DE NSA Value,FL NSA Value,GA NSA Value,HI NSA Value,ID NSA Value,IL NSA Value,IN NSA Value,IA NSA Value,KS NSA Value,KY NSA Value,LA NSA Value,ME NSA Value,MD NSA Value,MA NSA Value,MI NSA Value,MN NSA Value,MS NSA Value,MO NSA Value,MT NSA Value,NE NSA Value,NV NSA Value,NH NSA Value,NJ NSA Value,NM NSA Value,NY NSA Value,NC NSA Value,ND NSA Value,OH NSA Value,OK NSA Value,OR NSA Value,PA NSA Value,RI NSA Value,SC NSA Value,SD NSA Value,TN NSA Value,TX NSA Value,UT NSA Value,VT NSA Value,VA NSA Value,WA NSA Value,WV NSA Value,WI NSA Value,WY NSA Value
AK NSA Value,1.0,0.9546402927545636,0.9448827442723489,0.995798850889939,0.94741090642252,0.9520923455135059,0.948129895287811,0.983053295359037,0.9379758767743759,0.9785531314120616,0.9499639175231683,0.9760973240653756,0.9829979339863292,0.9851484025170621,0.9868073045510423,0.98945674253684,0.994186994553212,0.9709321743090057,0.9800618472165896,0.9731378257032335,0.9745679749306545,0.9167014836648,0.9795035606080373,0.9970298348309525,0.9943188471052232,0.9749625762541678,0.9852450320639392,0.890289891212517,0.9651558541627632,0.9722794051204305,0.9939927368535839,0.980987505694721,0.9969158075199456,0.911928132975265,0.972698805275734,0.9540536618093659,0.9723609479508043,0.9889501550932107,0.959782475187219,0.9969002543795132,0.9761010428856063,0.9888637381682768,0.9317488065457397,0.9721137154310178,0.9814713662573574,0.9791183858795611,0.9735636242110006,0.9856897312684352,0.9924565664927524,0.9550664653863793
AL NSA Value,0.9546402927545636,1.0,0.9239732572554484,0.9731718497543765,0.9327418618340664,0.9528520573635988,0.8836255925851948,0.9416951197789719,0.9165729399690261,0.9161465911019686,0.9538168454388867,0.9549196919596422,0.9085409572868192,0.9189765615740224,0.9618072897022923,0.9697174652542666,0.9550172260390373,0.9935561214340801,0.9491785317501217,0.9503210213469302,0.941470812307099,0.8056047420993211,0.9451571517179362,0.9682716618960713,0.9491817964869239,0.9827530666488743,0.9599979533632449,0.8327224958427358,0.9253194209135353,0.9324671976809268,0.9665585175736262,0.9518176865945303,0.9514702251542834,0.9641567386621883,0.8820622424672345,0.9893747565263549,0.9614363649563084,0.9577262290489479,0.9077722763069135,0.958807051435648,0.9768828108682247,0.9621330820763753,0.9668454820266295,0.9629192993585931,0.96161322790151,0.967408311984207,0.9569373815835983,0.9760747470942959,0.9409374717944484,0.9889581336711651
AR NSA Value,0.9448827442723489,0.9239732572554484,1.0,0.9449964169494781,0.9812484418258737,0.9311035055738092,0.9051435082089475,0.9463445881661923,0.9954121522108224,0.9589585462351865,0.9339338761902107,0.970164621138005,0.94383233089019,0.9163270988586099,0.9271893665592522,0.9399909088247451,0.9314535664273884,0.9367493085603316,0.9447512321068523,0.9641574343897534,0.944680447034248,0.8842322892978907,0.9648709722469241,0.9440589533775614,0.9553660002719027,0.9421128072397533,0.9306723280448078,0.970795424814845,0.9470800404344651,0.9441403702741589,0.9458569498146349,0.9411449610323321,0.9420776952910141,0.87747548754202,0.9075423222730659,0.9203421730924348,0.9623686343918447,0.9368638687322896,0.9483901042796035,0.9526817825621366,0.925451774396132,0.9452368536002397,0.9134842468905328,0.94734372660615,0.932831726302551,0.9623068968679676,0.9620743948645655,0.9309742518673159,0.9429446229909904,0.9246398441539179
AZ NSA Value,0.995798850889939,0.9731718497543765,0.9449964169494781,1.0,0.9515077436770089,0.9636624773482864,0.9385548067666488,0.9776135780720144,0.9381218850008863,0.9715295102951736,0.9568481602520537,0.9759446410619889,0.9709675114085168,0.9801215767806555,0.9908593577689567,0.9948019739027324,0.9944779231678201,0.984871456299524,0.9801849394367309,0.9725050951945723,0.9763554482643314,0.9025418344161614,0.9804164540593187,0.9977120892068009,0.9925241797868053,0.9839605604079239,0.9904043637575382,0.8821823761382948,0.9641200855984662,0.9682516686055437,0.993255658184556,0.9810678778569254,0.9933899139159998,0.9354337817595333,0.961544835910952,0.9732032234147827,0.9756212353077116,0.9882043720215179,0.9542174828761063,0.9946877690387015,0.9859890983076806,0.9912923810888589,0.9512283502378535,0.9769287523973179,0.9836440283180076,0.9828610850045729,0.9750897554846165,0.9924713858548992,0.9880759654246049,0.9699503124327372
CA NSA Value,0.94741090642252,0.9327418618340664,0.9812484418258737,0.9515077436770089,1.0,0.9486577570196272,0.9224407108359057,0.9600752714629305,0.988865372951636,0.9613631587031085,0.961891414917533,0.9633870992437514,0.946622289475555,0.9284921453856945,0.9417456482353569,0.9519736322769636,0.9464719740538199,0.9416905238335186,0.9699357285060108,0.975004728398914,0.9707291986779695,0.8887606238447405,0.9747334090214879,0.9451198462235267,0.964217977967528,0.9519478659816387,0.9441308490872196,0.9530982916250971,0.9677395008281073,0.9585481252955471,0.9414254662543041,0.9646419097707031,0.9502296116513782,0.9083468365159472,0.9152496585047775,0.9264751194850306,0.9648872430874048,0.9585272716048325,0.9699404541992687,0.9600946687954713,0.9449366120723792,0.9568779165666124,0.932610593883659,0.9432967301280448,0.957940334487187,0.9783456792237308,0.9706954954940534,0.9442719124702729,0.949395872240781,0.9324378493989793
CO NSA Value,0.9520923455135059,0.9528520573635988,0.9311035055738092,0.9636624773482864,0.9486577570196272,1.0,0.8516279173155644,0.9143592659647585,0.9265105236659641,0.9599596374403194,0.940448418331388,0.9698226604733242,0.9137934442204073,0.956507797116753,0.9756046531801289,0.9815321796362337,0.9706201723003816,0.9681413285928552,0.9399988663489396,0.9189029227318697,0.950850699174734,0.8937307747549277,0.9633534703434239,0.955795785215148,0.9641282690984747,0.9748510313890869,0.9837046844732114,0.8677153877090087,0.9253933780268675,0.9027575227275484,0.9365624446861572,0.9362233568462006,0.9651925307960977,0.9615779628985134,0.9271345449884075,0.9676084928491698,0.9801895950861753,0.9403107759850426,0.9015391182526032,0.9676584832420744,0.9844831051372349,0.982500261134004,0.9846907473734774,0.9828966763500282,0.9362258590261963,0.943657897064135,0.9796440543994133,0.9641653298505186,0.9530981134849915,0.9546024364625514
CT NSA Value,0.948129895287811,0.8836255925851948,0.9051435082089475,0.9385548067666488,0.9224407108359057,0.8516279173155644,1.0,0.9785638777943172,0.9113264458640659,0.9302500908905466,0.9002451804515363,0.8916015378238766,0.959417757810203,0.9154649376592985,0.9041051133869118,0.9175565486291245,0.9281878688736602,0.8923001614595788,0.974150031271052,0.9648369225868315,0.9667046765606685,0.8631454119395066,0.9364810225973099,0.9410644902687099,0.9488527773908004,0.8920064787803823,0.9004857627812393,0.870559600733818,0.9798100031457458,0.9880314171912054,0.9457935397094538,0.9756304811560491,0.9395648028228312,0.813271431199303,0.9179266305158673,0.8661507508540615,0.88147416311583,0.9636252743402959,0.983699153340614,0.9419519137632414,0.8906622201253154,0.9174539860939699,0.8366554081809161,0.8666428956828212,0.9624082522490326,0.9561751585595912,0.8937950122947419,0.9140141922831602,0.9358067312012248,0.8714186480152546
DE NSA Value,0.983053295359037,0.9416951197789719,0.9463445881661923,0.9776135780720144,0.9600752714629305,0.9143592659647585,0.9785638777943172,1.0,0.9495067538556473,0.9569046616584365,0.9584898545016554,0.955583349430111,0.981017866975477,0.9509825634338887,0.9578190022791137,0.9624028199768366,0.9694046862615793,0.9497208415549457,0.9919970141443054,0.9944198399317713,0.9788661001881541,0.8794977405560496,0.9701757995822862,0.979181167022376,0.9789109268009376,0.9574135977878796,0.9503425292693678,0.8991020008895291,0.9801595129191857,0.9957597751704137,0.98399429760324,0.9929353645976288,0.9758527566257729,0.8871980587287255,0.9414932992755173,0.9239234401344254,0.9507327906724727,0.9934608201903526,0.9869348373187894,0.9799899610206998,0.9503982271288208,0.9635043719612396,0.8984148269999989,0.9366094270050898,0.9919278938222476,0.991290912236625,0.9564720263576284,0.9677676451584498,0.9751946681533532,0.9414264919680749
FL NSA Value,0.9379758767743759,0.9165729399690261,0.9954121522108224,0.9381218850008863,0.988865372951636,0.9265105236659641,0.9113264458640659,0.9495067538556473,1.0,0.955283725468404,0.9359545561559037,0.9624692620208746,0.9450682212569493,0.9104287114334834,0.921276376863131,0.9337868381473964,0.9267628576087018,0.9273273847990375,0.949928764152948,0.968430900928988,0.9500615649520507,0.8831436074918686,0.9665898124923709,0.9354849285497607,0.9532384513118509,0.9358160045081181,0.9239594262844145,0.9765802885498037,0.9540766033871193,0.9499226777138727,0.9379880195070711,0.9452523656115301,0.9360179827743982,0.8686674604648893,0.9043186933815134,0.9093492275202945,0.9568055370940602,0.9377664282508669,0.9604010465348432,0.9478172433772815,0.9192943796753311,0.9387882529513081,0.9053116293585798,0.9349229578213794,0.9350324619605499,0.9647013366852093,0.9590000895696986,0.9238713103747945,0.9414367198894121,0.9165778449886574
GA NSA Value,0.9785531314120616,0.9161465911019686,0.9589585462351865,0.9715295102951736,0.9613631587031085,0.9599596374403194,0.9302500908905466,0.9569046616584365,0.955283725468404,1.0,0.9242894530775825,0.9676787703964608,0.9742967984797934,0.9808594284286615,0.9648465998734136,0.9749303828202858,0.9777728413038512,0.9384007855990463,0.9643022539235431,0.9490226935200324,0.9749210742333231,0.9589392266732435,0.9829940901738464,0.9707530326898075,0.9893455539530689,0.9448034535432248,0.9749196487798517,0.9331429878345576,0.9665408303973565,0.9506597776946909,0.9588145723209819,0.9617861060701888,0.9844473916866069,0.8822253580855574,0.9787569816825643,0.92835095332745,0.9617862379623202,0.9599058388383543,0.9568178613455366,0.9851114233725943,0.9523688786725069,0.9793120761742209,0.9290406255577153,0.9591076186096983,0.9479054307199005,0.9554089082234118,0.9677823866398152,0.9502001923372952,0.9780077038139291,0.9107128357635408
HI NSA Value,0.9499639175231683,0.9538168454388867,0.9339338761902107,0.9568481602520537,0.961891414917533,0.940448418331388,0.9002451804515363,0.9584898545016554,0.9359545561559037,0.9242894530775825,1.0,0.9658699178724669,0.9170337698059245,0.9235949341666283,0.9478620070161548,0.9492597788508707,0.9511698701710176,0.9544105466731195,0.9629264883191,0.9653196766750134,0.9445210675566673,0.8192417852946666,0.9342092316175963,0.9487217198705066,0.9447867537723547,0.9730612987639747,0.9452967456334298,0.8706204018682457,0.9293586875812592,0.941376341710503,0.953565907656461,0.9638968788806378,0.9539640384099118,0.953360126114555,0.8896791929537332,0.9370229547027205,0.9678200005721073,0.9736205331596954,0.9352117048040705,0.9584890623830633,0.9664719703709989,0.9633540033106577,0.9465597382762523,0.9552600511758382,0.9738670577032317,0.9757656718542703,0.9750934332807412,0.9644266940884177,0.9343417789684374,0.9581735738266896
IA NSA Value,0.9760973240653756,0.9549196919596422,0.970164621138005,0.9759446410619889,0.9633870992437514,0.9698226604733242,0.8916015378238766,0.955583349430111,0.9624692620208746,0.9676787703964608,0.9658699178724669,1.0,0.9502968303864953,0.9575736023715253,0.9727133171510626,0.9761962079575659,0.9726687766401036,0.9706092509643378,0.9561470579602455,0.9613310691716449,0.9485819839022827,0.8856193948332515,0.9679715885753669,0.9741053302148197,0.9740826791985717,0.985101720671297,0.9733322556383815,0.9176159240375558,0.9357337853811211,0.939438779610835,0.974183049477459,0.9549197479583995,0.9783700228783797,0.9323453183177098,0.9350352395943551,0.955966777240236,0.9953028764210903,0.9650843977460696,0.9331405911738422,0.982608037567917,0.9752543491241096,0.9841378737788163,0.9546131890906837,0.9922130592255368,0.9581209903361234,0.9695418727340978,0.9953887132007334,0.9730118521395534,0.9703062038172473,0.9651750599211503
ID NSA Value,0.9829979339863292,0.9085409572868192,0.94383233089019,0.9709675114085168,0.946622289475555,0.9137934442204073,0.959417757810203,0.981017866975477,0.9450682212569493,0.9742967984797934,0.9170337698059245,0.9502968303864953,1.0,0.971840986780035,0.9626338730213739,0.9621303323497066,0.9722537337178344,0.9293927917405125,0.9695260371238381,0.9721831160482839,0.9667006182978495,0.9429316599694645,0.9812825129317811,0.9747678688574382,0.9853904728157664,0.9369943455000673,0.9563281348270681,0.9211762591290527,0.9669324988259763,0.9759791683380006,0.9727037652994645,0.9674784927058547,0.9744597112268838,0.8450756501195423,0.9784301165150537,0.9048448929368503,0.9450745242130736,0.9714177781206392,0.974541563351796,0.9765978496655866,0.9349509558510436,0.9567505528539401,0.8720271440631305,0.9319595255219247,0.9621745874961471,0.9662687494237232,0.9458202621849313,0.9554967642486099,0.989994841710977,0.912556230411501
